time,temperature_2m (°C),relative_humidity_2m (%),precipitation (mm),wind_speed_10m (km/h),et0_fao_evapotranspiration (mm),soil_moisture_0_to_7cm (m³/m³),shortwave_radiation_instant (W/m²)
2023-01-01T00:00,12.1,98,0,5.7,0,0.464,0
2023-01-01T01:00,12.3,99,0,5.8,0,0.464,0
2023-01-01T02:00,13.1,100,0,2.1,0,0.463,0
2023-01-01T03:00,11.3,100,0,4.4,0,0.463,0
2023-01-01T04:00,11.4,99,0,2.5,0,0.463,0
2023-01-01T05:00,11.7,100,0,1.3,0,0.463,0
2023-01-01T06:00,11.9,100,0,1.5,0.01,0.462,9.6
2023-01-01T07:00,12.3,99,0,5.4,0.03,0.462,83.6
2023-01-01T08:00,13.1,98,0,2.5,0.07,0.462,171.5
2023-01-01T09:00,15.6,90,0,1.1,0.17,0.462,339.2
2023-01-01T10:00,17.6,84,0,2.3,0.27,0.461,495.2
2023-01-01T11:00,19.1,77,0,3.2,0.32,0.46,542.6
2023-01-01T12:00,20.1,72,0,4.1,0.32,0.458,515.8
2023-01-01T13:00,20.6,67,0,5.2,0.29,0.457,427.3
2023-01-01T14:00,20.4,65,0,6.2,0.2,0.456,265.2
2023-01-01T15:00,19.5,74,0,4.1,0.11,0.455,118.7
2023-01-01T16:00,16.9,81,0,7.9,0.03,0.455,0
2023-01-01T17:00,16.1,83,0,7.7,0,0.453,0
2023-01-01T18:00,15.2,87,0,7.3,0,0.453,0
2023-01-01T19:00,14.1,92,0,7.9,0,0.453,0
2023-01-01T20:00,13.8,93,0,7.3,0,0.453,0
2023-01-01T21:00,13,96,0,7.1,0,0.453,0
2023-01-01T22:00,13,96,0,6.4,0,0.453,0
2023-01-01T23:00,13.8,94,0,0.8,0,0.453,0
2023-01-02T00:00,13.2,97,0,2.5,0,0.453,0
2023-01-02T01:00,12.4,100,0,3.2,0,0.453,0
2023-01-02T02:00,11.8,100,0,3.3,0,0.453,0
2023-01-02T03:00,11.2,100,0,1.5,0,0.453,0
2023-01-02T04:00,11.4,100,0,2.7,0,0.453,0
2023-01-02T05:00,11,100,0,1.5,0,0.453,0
2023-01-02T06:00,10.8,100,0,2.2,0.01,0.453,12
2023-01-02T07:00,11.9,100,0,1.1,0.03,0.453,95.9
2023-01-02T08:00,13.2,97,0,1.3,0.08,0.453,189.9
2023-01-02T09:00,15.3,90,0,0.7,0.14,0.452,279.2
2023-01-02T10:00,18,83,0,2.2,0.28,0.451,504.8
2023-01-02T11:00,19.6,76,0,3.8,0.33,0.45,548.8
2023-01-02T12:00,20.5,71,0,5.7,0.34,0.449,535.2
2023-01-02T13:00,21.1,67,0,6.9,0.3,0.447,442.1
2023-01-02T14:00,21.2,64,0,6.7,0.23,0.446,298.1
2023-01-02T15:00,20.1,74,0,4.6,0.12,0.446,132.1
2023-01-02T16:00,16.3,86,0,9.4,0.03,0.446,0
2023-01-02T17:00,15.4,88,0,9.5,0,0.445,0
2023-01-02T18:00,16.1,84,0,7.2,0,0.445,0
2023-01-02T19:00,16,83,0,4,0,0.445,0
2023-01-02T20:00,14.2,91,0,5.5,0,0.445,0
2023-01-02T21:00,13.7,92,0,5.6,0,0.445,0
2023-01-02T22:00,12.7,96,0,5.8,0,0.445,0
2023-01-02T23:00,13.3,95,0,4.3,0,0.445,0
2023-01-03T00:00,13.3,95,0,2.6,0,0.445,0
2023-01-03T01:00,11.9,98,0,7,0,0.445,0
2023-01-03T02:00,13.4,97,0,3.2,0,0.445,0
2023-01-03T03:00,11.7,100,0,1.8,0,0.445,0
2023-01-03T04:00,10.4,100,0,3.8,0,0.445,0
2023-01-03T05:00,11.3,99,0,2.6,0,0.445,0
2023-01-03T06:00,10.9,100,0,2.3,0.01,0.445,12.1
2023-01-03T07:00,12,98,0,4.6,0.03,0.445,119
2023-01-03T08:00,13.7,96,0,3.6,0.09,0.445,236.3
2023-01-03T09:00,16.6,88,0,1.5,0.19,0.444,379.5
2023-01-03T10:00,18.9,80,0,0.4,0.3,0.443,527
2023-01-03T11:00,20.5,74,0,2.3,0.35,0.442,578.1
2023-01-03T12:00,21.4,68,0,4.2,0.35,0.44,543.1
2023-01-03T13:00,21.8,64,0,5.9,0.31,0.439,447
2023-01-03T14:00,21.7,61,0,6.4,0.23,0.438,301
2023-01-03T15:00,20.5,74,0,3.6,0.12,0.438,135.4
2023-01-03T16:00,16.6,82,0,9.4,0.04,0.438,0
2023-01-03T17:00,15.4,86,0,9.4,0,0.436,0
2023-01-03T18:00,15.3,85,0,7.9,0,0.436,0
2023-01-03T19:00,15.4,83,0,5.2,0,0.436,0
2023-01-03T20:00,15.9,81,0,3.1,0,0.436,0
2023-01-03T21:00,15.5,82,0,2,0,0.436,0
2023-01-03T22:00,12.1,93,0,4.7,0,0.436,0
2023-01-03T23:00,11,97,0,5,0,0.436,0
2023-01-04T00:00,10.9,97,0,2.9,0,0.437,0
2023-01-04T01:00,10.3,100,0,3.3,0,0.437,0
2023-01-04T02:00,10.3,100,0,3.2,0,0.437,0
2023-01-04T03:00,10.5,100,0,2.3,0,0.437,0
2023-01-04T04:00,10.4,100,0,3.9,0,0.437,0
2023-01-04T05:00,10.1,100,0,2.3,0,0.437,0
2023-01-04T06:00,9.7,100,0,1.8,0.01,0.437,9.7
2023-01-04T07:00,10.6,99,0,2.6,0.03,0.437,85.5
2023-01-04T08:00,12.9,99,0,0.7,0.09,0.436,205.9
2023-01-04T09:00,15.6,89,0,1.6,0.17,0.436,335.1
2023-01-04T10:00,18.3,81,0,2.6,0.28,0.435,506.2
2023-01-04T11:00,20,73,0,4.5,0.34,0.434,570.3
2023-01-04T12:00,21,67,0,5.4,0.35,0.433,544.3
2023-01-04T13:00,21.4,64,0,5.7,0.31,0.432,447.2
2023-01-04T14:00,21.3,63,0,5.8,0.23,0.431,303
2023-01-04T15:00,20.2,79,0,2.8,0.11,0.43,136.6
2023-01-04T16:00,19,72,0,5.9,0.04,0.43,0
2023-01-04T17:00,16.2,82,0,7.1,0,0.428,0
2023-01-04T18:00,18.1,75,0,4.2,0,0.428,0
2023-01-04T19:00,17.2,78,0,4.2,0,0.428,0
2023-01-04T20:00,15.6,83,0,5.4,0,0.429,0
2023-01-04T21:00,13.1,91,0,5.2,0,0.429,0
2023-01-04T22:00,11.7,95,0,5.4,0,0.429,0
2023-01-04T23:00,11.2,94,0,6.9,0,0.429,0
2023-01-05T00:00,12.1,90,0,3.5,0,0.429,0
2023-01-05T01:00,10.9,97,0,6.9,0,0.429,0
2023-01-05T02:00,12.5,96,0,2.7,0,0.429,0
2023-01-05T03:00,10.4,100,0,1.8,0,0.429,0
2023-01-05T04:00,10,100,0,3.2,0,0.429,0
2023-01-05T05:00,9.6,100,0,3.3,0,0.429,0
2023-01-05T06:00,9.5,100,0,3.2,0.01,0.429,9.7
2023-01-05T07:00,10.6,99,0,0.4,0.03,0.429,91.8
2023-01-05T08:00,12.3,96,0,2,0.08,0.429,190.2
2023-01-05T09:00,15.1,92,0,1.8,0.17,0.429,354.1
2023-01-05T10:00,18,82,0,2.3,0.29,0.428,524.2
2023-01-05T11:00,20.1,71,0,3.6,0.35,0.427,583.5
2023-01-05T12:00,21.3,64,0,5.3,0.35,0.426,550.3
2023-01-05T13:00,21.8,62,0,6.4,0.31,0.424,453
2023-01-05T14:00,21.7,63,0,6.4,0.24,0.424,308.4
2023-01-05T15:00,20.5,79,0,3.1,0.12,0.423,140.6
2023-01-05T16:00,17.7,80,0,7.5,0.04,0.423,0
2023-01-05T17:00,15.7,85,0,10.1,0.01,0.418,0
2023-01-05T18:00,15,87,0,9.4,0,0.418,0
2023-01-05T19:00,14.1,89,0,9.2,0,0.418,0
2023-01-05T20:00,13.3,92,0,8.4,0,0.418,0
2023-01-05T21:00,12.4,95,0,7.9,0,0.418,0
2023-01-05T22:00,14.2,91,0,1,0,0.418,0
2023-01-05T23:00,12,95,0,5.6,0,0.418,0
2023-01-06T00:00,12.4,96,0,5.5,0,0.418,0
2023-01-06T01:00,12.8,99,0,1.3,0,0.418,0
2023-01-06T02:00,9.9,100,0,5.6,0,0.419,0
2023-01-06T03:00,10.2,100,0,4,0,0.419,0
2023-01-06T04:00,10.3,100,0,4.3,0,0.419,0
2023-01-06T05:00,9.6,100,0,2.3,0,0.418,0
2023-01-06T06:00,9.8,100,0,0.5,0.01,0.418,7.3
2023-01-06T07:00,10.7,99,0,1.8,0.03,0.419,81.2
2023-01-06T08:00,12.1,100,0,1.5,0.07,0.418,163.4
2023-01-06T09:00,13.9,92,0,1.1,0.14,0.418,279.6
2023-01-06T10:00,16.6,87,0,2.6,0.22,0.418,400.1
2023-01-06T11:00,19.3,79,0,3.3,0.34,0.417,576.7
2023-01-06T12:00,20.9,69,0,4.1,0.35,0.416,554.4
2023-01-06T13:00,21.6,65,0,4.8,0.31,0.415,458.8
2023-01-06T14:00,21.6,64,0,5,0.23,0.414,313
2023-01-06T15:00,20.4,82,0,3.2,0.12,0.414,143.3
2023-01-06T16:00,19.2,72,0,6.5,0.05,0.414,1.3
2023-01-06T17:00,16.7,81,0,8.8,0.01,0.406,0
2023-01-06T18:00,15.4,87,0,9.4,0,0.406,0
2023-01-06T19:00,17.4,79,0,4.7,0,0.407,0
2023-01-06T20:00,15.8,86,0,2.3,0,0.407,0
2023-01-06T21:00,13.8,92,0,3.6,0,0.407,0
2023-01-06T22:00,14,93,0,2.9,0,0.407,0
2023-01-06T23:00,12.9,96,0,3.6,0,0.407,0
2023-01-07T00:00,11.2,100,0,6.6,0,0.407,0
2023-01-07T01:00,10.9,100,0,6.9,0,0.407,0
2023-01-07T02:00,11.2,100,0,4.9,0,0.407,0
2023-01-07T03:00,11.3,100,0,4.5,0,0.407,0
2023-01-07T04:00,11.4,100,0,4.7,0,0.407,0
2023-01-07T05:00,11.2,100,0,0.4,0,0.407,0
2023-01-07T06:00,11.3,100,0,4.1,0.01,0.407,9.7
2023-01-07T07:00,12.3,99,0,3.8,0.03,0.407,85.9
2023-01-07T08:00,14.1,96,0,2.3,0.08,0.407,189.1
2023-01-07T09:00,16.7,90,0,3.3,0.17,0.406,336.5
2023-01-07T10:00,19,84,0,4.2,0.27,0.406,489.7
2023-01-07T11:00,21,73,0,5,0.35,0.405,575.8
2023-01-07T12:00,22.1,64,0,4.7,0.36,0.404,545
2023-01-07T13:00,22.5,59,0,4,0.31,0.402,447.2
2023-01-07T14:00,22.4,59,0,3.3,0.23,0.402,307.5
2023-01-07T15:00,21.3,80,0,2.6,0.12,0.401,142.5
2023-01-07T16:00,19.9,67,0,5.7,0.05,0.401,2.5
2023-01-07T17:00,18.2,72,0,7.6,0.02,0.396,0
2023-01-07T18:00,16.7,80,0,8.4,0.01,0.396,0
2023-01-07T19:00,18.6,72,0,5.5,0.01,0.396,0
2023-01-07T20:00,14.5,88,0,5.5,0,0.396,0
2023-01-07T21:00,14.2,92,0,5.6,0,0.396,0
2023-01-07T22:00,13.1,95,0,7.9,0,0.397,0
2023-01-07T23:00,13.5,95,0,4.8,0,0.397,0
2023-01-08T00:00,13.8,96,0,3.6,0,0.397,0
2023-01-08T01:00,13.2,99,0,2.4,0,0.397,0
2023-01-08T02:00,12,100,0,1.1,0,0.397,0
2023-01-08T03:00,11.6,100,0,2.5,0,0.397,0
2023-01-08T04:00,11.7,100,0,4.5,0,0.397,0
2023-01-08T05:00,11.4,100,0,3.6,0,0.398,0
2023-01-08T06:00,11,100,0,3.3,0.01,0.398,9.7
2023-01-08T07:00,12,99,0,3.2,0.03,0.398,86
2023-01-08T08:00,13.9,97,0,1.8,0.08,0.398,195.3
2023-01-08T09:00,16.3,92,0,2.3,0.17,0.397,348.9
2023-01-08T10:00,19.1,83,0,3.1,0.3,0.397,529.9
2023-01-08T11:00,21.1,73,0,4,0.35,0.396,581
2023-01-08T12:00,22.2,66,0,5.4,0.36,0.395,547.2
2023-01-08T13:00,22.6,63,0,5.8,0.32,0.394,452.1
2023-01-08T14:00,22.4,63,0,5.4,0.24,0.393,309.6
2023-01-08T15:00,21.3,73,0,3.6,0.13,0.392,143.1
2023-01-08T16:00,17.6,83,0,8.6,0.04,0.392,3.8
2023-01-08T17:00,17.3,82,0,7.1,0,0.389,0
2023-01-08T18:00,16.4,87,0,7.6,0,0.389,0
2023-01-08T19:00,15.3,91,0,8.2,0,0.389,0
2023-01-08T20:00,14.3,95,0,9.3,0,0.389,0
2023-01-08T21:00,13.8,96,0,8.2,0,0.389,0
2023-01-08T22:00,15.7,92,0,4.3,0,0.39,0
2023-01-08T23:00,14.2,96,0,5.4,0,0.39,0
2023-01-09T00:00,14.8,95,0,3.6,0,0.39,0
2023-01-09T01:00,13.5,99,0,2.5,0,0.39,0
2023-01-09T02:00,12.8,100,0,2.5,0,0.39,0
2023-01-09T03:00,12.3,100,0,1.1,0,0.39,0
2023-01-09T04:00,12.2,100,0,3.3,0,0.39,0
2023-01-09T05:00,12,100,0,1.4,0,0.39,0
2023-01-09T06:00,11.8,100,0,3.9,0.01,0.39,7.3
2023-01-09T07:00,12.5,99,0,3.6,0.03,0.39,64.5
2023-01-09T08:00,13.8,98,0,2.6,0.06,0.39,117.2
2023-01-09T09:00,15.5,93,0,3.1,0.11,0.39,216.3
2023-01-09T10:00,17.9,86,0,4.7,0.2,0.389,364.6
2023-01-09T11:00,19.8,81,0,5.2,0.33,0.389,558
2023-01-09T12:00,21.1,74,0,5.2,0.34,0.388,538.7
2023-01-09T13:00,21.8,71,0,5,0.31,0.387,451.4
2023-01-09T14:00,21.9,70,0,5.2,0.23,0.386,309.2
2023-01-09T15:00,21.1,77,0,3.9,0.12,0.386,144.3
2023-01-09T16:00,18.3,85,0,7.8,0.04,0.386,5.1
2023-01-09T17:00,17.8,85,0,7.5,0,0.38,0
2023-01-09T18:00,16.7,91,0,8.7,0,0.38,0
2023-01-09T19:00,16.1,92,0,8.3,0,0.38,0
2023-01-09T20:00,15.2,95,0,8.7,0,0.38,0
2023-01-09T21:00,14.3,96,0,9,0,0.38,0
2023-01-09T22:00,13.8,98,0,8.2,0,0.381,0
2023-01-09T23:00,13.9,98,0,5.9,0,0.381,0
2023-01-10T00:00,13.2,100,0,6.5,0,0.381,0
2023-01-10T01:00,14.1,100,0,5.1,0,0.381,0
2023-01-10T02:00,14,100,0,3.3,0,0.381,0
2023-01-10T03:00,12.6,100,0,2,0,0.381,0
2023-01-10T04:00,12.7,100,0,2.4,0,0.381,0
2023-01-10T05:00,12.1,100,0,2.4,0,0.382,0
2023-01-10T06:00,12.1,100,0,3.5,0.01,0.382,7.3
2023-01-10T07:00,12.8,98,0,1.6,0.03,0.382,78.4
2023-01-10T08:00,13.9,98,0,1.8,0.07,0.382,166.1
2023-01-10T09:00,15.8,91,0,1.5,0.15,0.382,291
2023-01-10T10:00,18.4,84,0,1.1,0.28,0.381,495.4
2023-01-10T11:00,20.2,79,0,1.8,0.34,0.38,564.3
2023-01-10T12:00,21.5,73,0,3.1,0.35,0.38,546.6
2023-01-10T13:00,22,70,0,4.2,0.31,0.379,452.6
2023-01-10T14:00,22.1,67,0,5,0.23,0.378,309.6
2023-01-10T15:00,21.2,73,0,3.9,0.13,0.378,144.9
2023-01-10T16:00,19,77,0,6.1,0.04,0.378,6.4
2023-01-10T17:00,18,79,0,5.6,0,0.372,0
2023-01-10T18:00,17,83,0,5.2,0,0.372,0
2023-01-10T19:00,15.9,88,0,6.5,0,0.372,0
2023-01-10T20:00,15.3,91,0,8.8,0,0.372,0
2023-01-10T21:00,15,92,0,8.3,0,0.372,0
2023-01-10T22:00,14.3,93,0,8.3,0,0.372,0
2023-01-10T23:00,14,93,0,5.8,0,0.372,0
2023-01-11T00:00,12.9,96,0,7.2,0,0.372,0
2023-01-11T01:00,13.3,96,0,5.4,0,0.372,0
2023-01-11T02:00,12.6,99,0,3.1,0,0.372,0
2023-01-11T03:00,12.1,100,0,2.4,0,0.372,0
2023-01-11T04:00,11.1,100,0,2.6,0,0.372,0
2023-01-11T05:00,10.6,100,0,3.7,0,0.373,0
2023-01-11T06:00,10.8,100,0,4.3,0.01,0.373,12.2
2023-01-11T07:00,12.6,98,0,3.8,0.03,0.373,120
2023-01-11T08:00,14.8,97,0,2.1,0.1,0.373,237
2023-01-11T09:00,18.3,84,0,1.8,0.22,0.372,423.8
2023-01-11T10:00,20.7,75,0,3.4,0.32,0.372,546.1
2023-01-11T11:00,22.2,67,0,3.1,0.36,0.371,568.4
2023-01-11T12:00,22.9,62,0,2.3,0.36,0.37,528.5
2023-01-11T13:00,23.3,61,0,1.8,0.31,0.369,443.8
2023-01-11T14:00,23.1,62,0,2.9,0.23,0.368,306.6
2023-01-11T15:00,22,72,0,3.7,0.13,0.368,146.2
2023-01-11T16:00,18.3,82,0,7.7,0.04,0.368,7.7
2023-01-11T17:00,16.9,87,0,8.6,0.03,0.367,0
2023-01-11T18:00,16.3,88,0,9.6,0,0.367,0
2023-01-11T19:00,16,87,0,7.3,0,0.367,0
2023-01-11T20:00,14.6,92,0,7.5,0,0.368,0
2023-01-11T21:00,14.1,95,0,6.9,0,0.368,0
2023-01-11T22:00,13.4,95,0,8.5,0,0.368,0
2023-01-11T23:00,13.2,95,0,7.1,0,0.368,0
2023-01-12T00:00,13.1,96,0,6.4,0,0.368,0
2023-01-12T01:00,13.9,94,0,1.6,0,0.368,0
2023-01-12T02:00,12.6,98,0,2.9,0,0.368,0
2023-01-12T03:00,12.3,99,0,2.1,0,0.368,0
2023-01-12T04:00,11.5,99,0,2.5,0,0.368,0
2023-01-12T05:00,11.6,100,0,1.8,0,0.369,0
2023-01-12T06:00,11.6,100,0,2.8,0.01,0.369,7.3
2023-01-12T07:00,12.5,99,0,2.7,0.03,0.37,81.5
2023-01-12T08:00,13.9,96,0,2.3,0.08,0.369,180.9
2023-01-12T09:00,16.9,87,0,0.8,0.17,0.369,331.3
2023-01-12T10:00,19.5,79,0,1.1,0.29,0.369,499.8
2023-01-12T11:00,21,71,0,3.6,0.33,0.368,529.3
2023-01-12T12:00,22,63,0,4.8,0.34,0.367,516.2
2023-01-12T13:00,22.5,59,0,5.6,0.3,0.366,410.2
2023-01-12T14:00,22.4,60,0,6.4,0.22,0.365,269.7
2023-01-12T15:00,21.5,72,0,3.4,0.12,0.365,125.5
2023-01-12T16:00,19.9,73,0,5.7,0.05,0.365,8
2023-01-12T17:00,20.1,67,0,3.7,0.03,0.364,0
2023-01-12T18:00,16.7,85,0,7.1,0,0.364,0
2023-01-12T19:00,15.6,90,0,9.2,0,0.364,0
2023-01-12T20:00,15.1,88,0,7.9,0,0.364,0
2023-01-12T21:00,16.1,82,0,5.6,0,0.364,0
2023-01-12T22:00,15.8,82,0,6.9,0,0.364,0
2023-01-12T23:00,15.8,79,0,6.9,0.01,0.364,0
2023-01-13T00:00,16,73,0,11.4,0.03,0.364,0
2023-01-13T01:00,15.5,80,0,9.2,0.01,0.364,0
2023-01-13T02:00,14.9,84,0,6.6,0,0.364,0
2023-01-13T03:00,14.8,86,0,7.4,0,0.364,0
2023-01-13T04:00,14.4,91,0,7.7,0,0.365,0
2023-01-13T05:00,13.6,92,0,6.2,0,0.369,0
2023-01-13T06:00,13.7,94,0,5,0.01,0.369,12.2
2023-01-13T07:00,15.8,87,0,2.5,0.04,0.369,124.6
2023-01-13T08:00,17.3,79,0,0.4,0.12,0.369,256.7
2023-01-13T09:00,18.7,72,0,3.3,0.21,0.369,391.6
2023-01-13T10:00,19.8,69,0,5.6,0.28,0.368,482
2023-01-13T11:00,20.7,66,0,7.1,0.33,0.367,541.5
2023-01-13T12:00,21.1,65,0,7.9,0.32,0.366,481.6
2023-01-13T13:00,21.3,63,0,8.9,0.28,0.365,388.4
2023-01-13T14:00,21.1,63,0,9.4,0.22,0.365,267.5
2023-01-13T15:00,20.2,68,0,9.5,0.13,0.364,123.8
2023-01-13T16:00,18.5,73,0,8.6,0.06,0.364,8
2023-01-13T17:00,17.2,75,0,10.5,0.05,0.367,0
2023-01-13T18:00,16.6,75,0,11.9,0.03,0.367,0
2023-01-13T19:00,15.7,82,0,9.3,0.01,0.367,0
2023-01-13T20:00,15,90,0.8,6.5,0,0.375,0
2023-01-13T21:00,15.5,86,1.1,7.4,0,0.388,0
2023-01-13T22:00,15.2,90,0.3,6.9,0,0.392,0
2023-01-13T23:00,14.7,93,0.3,5.4,0,0.396,0
2023-01-14T00:00,14.7,94,0.2,3.7,0,0.399,0
2023-01-14T01:00,13.9,93,0,5.1,0,0.399,0
2023-01-14T02:00,12.9,95,0.1,7.4,0,0.4,0
2023-01-14T03:00,13.3,96,0,4.5,0,0.401,0
2023-01-14T04:00,13.1,97,0.1,4,0,0.402,0
2023-01-14T05:00,13.4,97,0.3,4.7,0,0.391,0
2023-01-14T06:00,13.8,96,0.1,4.2,0.01,0.392,9.7
2023-01-14T07:00,14.8,93,0,2,0.03,0.392,76.9
2023-01-14T08:00,15.9,88,0,3.4,0.09,0.393,202.9
2023-01-14T09:00,17.2,79,0.1,4.2,0.17,0.393,323.6
2023-01-14T10:00,18,75,0.1,7.8,0.19,0.393,320.7
2023-01-14T11:00,18.6,72,0,7.5,0.21,0.393,323.8
2023-01-14T12:00,19,69,0,7.2,0.22,0.392,321.5
2023-01-14T13:00,19.1,69,0,7.9,0.22,0.391,309.8
2023-01-14T14:00,18.9,70,0,10.2,0.19,0.391,244.1
2023-01-14T15:00,17.9,76,0,11.8,0.12,0.39,125
2023-01-14T16:00,16.4,85,0,10.7,0.04,0.39,11.3
2023-01-14T17:00,15.8,86,0.1,11.1,0.03,0.395,0
2023-01-14T18:00,15.5,91,0,7.1,0,0.395,0
2023-01-14T19:00,15.1,92,0,10.8,0,0.395,0
2023-01-14T20:00,15,91,0.1,9.7,0,0.396,0
2023-01-14T21:00,14.8,93,0.2,7.1,0,0.398,0
2023-01-14T22:00,14.6,96,0.2,6.6,0,0.399,0
2023-01-14T23:00,14.5,97,0.3,6.8,0,0.403,0
2023-01-15T00:00,14.2,97,0.4,6.8,0,0.408,0
2023-01-15T01:00,14.1,97,0.8,5,0,0.419,0
2023-01-15T02:00,14,98,0.3,3.3,0,0.423,0
2023-01-15T03:00,13.8,98,0.1,4.8,0,0.424,0
2023-01-15T04:00,13.5,98,0.6,3.6,0,0.433,0
2023-01-15T05:00,13.5,96,0,4,0,0.458,0
2023-01-15T06:00,13.6,94,0,3.8,0.02,0.457,7.3
2023-01-15T07:00,14.4,91,0,3.2,0.03,0.456,63.1
2023-01-15T08:00,15,88,0,5,0.06,0.455,105.1
2023-01-15T09:00,15.8,86,0,5.2,0.1,0.453,176.3
2023-01-15T10:00,17.1,80,0,4.8,0.18,0.452,309.1
2023-01-15T11:00,17.9,77,0,6.5,0.2,0.45,340
2023-01-15T12:00,18.2,76,0,7.3,0.21,0.449,340
2023-01-15T13:00,18.4,75,0,7.9,0.19,0.447,282.5
2023-01-15T14:00,18.1,76,0,10,0.18,0.445,265.6
2023-01-15T15:00,17.5,78,0,9.7,0.11,0.444,129.7
2023-01-15T16:00,16.4,83,0,8.6,0.04,0.443,10.4
2023-01-15T17:00,15.6,89,0,6.9,0.02,0.44,0
2023-01-15T18:00,15.7,88,0,8.3,0,0.44,0
2023-01-15T19:00,14.3,94,0,5.8,0,0.439,0
2023-01-15T20:00,13,96,0,8,0,0.438,0
2023-01-15T21:00,13.8,96,0,6.2,0,0.438,0
2023-01-15T22:00,14.7,94,0.1,2.8,0,0.438,0
2023-01-15T23:00,14.7,95,0.2,2.9,0,0.439,0
2023-01-16T00:00,14.9,94,0.4,1,0,0.442,0
2023-01-16T01:00,14.8,97,0.1,1.8,0,0.442,0
2023-01-16T02:00,14.6,97,0.2,4,0,0.444,0
2023-01-16T03:00,14.2,97,0.9,3.6,0,0.456,0
2023-01-16T04:00,13.8,97,0.1,4.5,0,0.457,0
2023-01-16T05:00,13.5,97,0,5.2,0,0.459,0
2023-01-16T06:00,13.6,96,0.3,2.5,0.01,0.461,9.7
2023-01-16T07:00,14.3,94,0.2,7.1,0.03,0.462,87.6
2023-01-16T08:00,15.3,92,0.1,8.2,0.08,0.462,168.7
2023-01-16T09:00,16.6,86,0,7.5,0.15,0.46,305.8
2023-01-16T10:00,17.7,80,0,4.7,0.23,0.458,416.8
2023-01-16T11:00,19,75,0,2.7,0.27,0.456,456.1
2023-01-16T12:00,19.9,69,0.1,1.8,0.31,0.455,489.9
2023-01-16T13:00,20.3,64,0,2.6,0.27,0.453,404.7
2023-01-16T14:00,20.2,60,0,5.1,0.2,0.451,250.6
2023-01-16T15:00,19.4,68,0,5.6,0.11,0.449,112.2
2023-01-16T16:00,17.3,76,0,7.6,0.05,0.448,12.4
2023-01-16T17:00,15.5,85,0,7.4,0.03,0.458,0
2023-01-16T18:00,15.2,89,0,7.9,0,0.457,0
2023-01-16T19:00,14.6,92,0,7.1,0,0.456,0
2023-01-16T20:00,14.3,92,0,7.4,0,0.455,0
2023-01-16T21:00,15.1,88,0,8.2,0,0.454,0
2023-01-16T22:00,15.1,89,0.1,7.3,0,0.453,0
2023-01-16T23:00,14.8,92,0.4,8.3,0,0.456,0
2023-01-17T00:00,14.7,92,0.1,4.1,0,0.455,0
2023-01-17T01:00,14.5,93,0.6,6.8,0,0.461,0
2023-01-17T02:00,14.2,95,0.1,3.4,0,0.461,0
2023-01-17T03:00,14,96,0.2,4.6,0,0.462,0
2023-01-17T04:00,13.7,92,1.3,2.9,0,0.479,0
2023-01-17T05:00,13.9,96,0.1,5.4,0,0.457,0
2023-01-17T06:00,13.9,94,0.3,4,0.01,0.458,9.7
2023-01-17T07:00,14.7,88,0,4.8,0.04,0.457,95.3
2023-01-17T08:00,15.6,85,0,2.6,0.1,0.456,215.1
2023-01-17T09:00,16.6,81,0,1.6,0.16,0.455,296.9
2023-01-17T10:00,17.5,76,0,2.7,0.22,0.453,389.4
2023-01-17T11:00,18.6,73,0,2.9,0.29,0.452,481.5
2023-01-17T12:00,19.6,68,0,4.5,0.31,0.45,491
2023-01-17T13:00,19.7,66,0,5.9,0.27,0.448,397.6
2023-01-17T14:00,19.6,67,0,6.6,0.21,0.446,284.9
2023-01-17T15:00,19,70,0,7.7,0.13,0.445,143.6
2023-01-17T16:00,17,80,0,5.6,0.04,0.444,14.4
2023-01-17T17:00,14.8,86,0,8.2,0.03,0.443,0
2023-01-17T18:00,15.3,84,0,6.1,0,0.442,0
2023-01-17T19:00,14.1,89,0,8.7,0,0.442,0
2023-01-17T20:00,13.6,91,0,7.8,0,0.441,0
2023-01-17T21:00,13.2,92,0,5,0,0.441,0
2023-01-17T22:00,14,86,0.1,8,0,0.441,0
2023-01-17T23:00,13.3,89,0.2,6.2,0,0.442,0
2023-01-18T00:00,13.1,96,0,7.6,0,0.442,0
2023-01-18T01:00,12.1,97,0,5.4,0,0.441,0
2023-01-18T02:00,10.8,99,0,6.9,0,0.441,0
2023-01-18T03:00,11.8,98,0,4.9,0,0.441,0
2023-01-18T04:00,10.2,100,0,7.1,0,0.44,0
2023-01-18T05:00,11.9,97,0,5.4,0,0.44,0
2023-01-18T06:00,11.5,100,0,2.5,0.01,0.44,12.1
2023-01-18T07:00,12.3,98,0,3.3,0.04,0.439,136.6
2023-01-18T08:00,14.4,92,0,2.3,0.12,0.439,284.7
2023-01-18T09:00,16.5,80,0,3.6,0.22,0.438,445.3
2023-01-18T10:00,18,73,0,4.8,0.29,0.437,544.6
2023-01-18T11:00,19.1,66,0.1,5.4,0.33,0.436,566.4
2023-01-18T12:00,19.7,61,0.1,5.1,0.33,0.435,525
2023-01-18T13:00,20.1,58,0.1,4.8,0.3,0.434,449.3
2023-01-18T14:00,19.9,58,0,6.2,0.23,0.433,308.3
2023-01-18T15:00,19.1,67,0,4.4,0.13,0.432,147.7
2023-01-18T16:00,16.2,81,0,8,0.05,0.431,16.4
